,RPneg_BATCirc_391,RPneg_BATCirc_403,RPneg_BATCirc_453,RPneg_BATCirc_395,RPneg_BATCirc_405,RPneg_BATCirc_415,RPneg_BATCirc_463,RPneg_BATCirc_431,RPneg_BATCirc_435,RPneg_BATCirc_439,RPneg_BATCirc_411,RPneg_BATCirc_425,RPneg_BATCirc_445,RPneg_BATCirc_383,RPneg_BATCirc_407,RPneg_BATCirc_417,RPneg_BATCirc_381,RPneg_BATCirc_393,RPneg_BATCirc_419,RPneg_BATCirc_459,RPneg_BATCirc_413,RPneg_BATCirc_447,RPneg_BATCirc_avg,RPneg_BATCirc_427,RPneg_BATCirc_433,RPneg_BATCirc_437
p_508/275.0064mz/1.73min,-0.62911271,0.73334619,1.56505225,1.02889936,1.11653443,1.31760311,1.88422124,-0.18266978,0.84286674,0.32461474,0.89989136,0.02787996,0.24826432,-0.54087254,-1.18737806,-1.73813836,0.44235114,-1.78917528,0.28885172,-1.19318134,-0.99959979,-0.78449941,-0.79490456,-0.6222636,-0.06085711,-0.197724
p_731/495.0656mz/1.07min 3-6-3;4-dihydroxy-6-methyl-5-oxooxan-2-yl-5;7-dihydroxy-4-oxo-4H-chromen-2-ylphenyloxidanesulfonic acid,-0.69230064,-0.4613109,-0.03562046,0.80022907,-0.53399347,0.45531574,-0.52676965,-1.28961855,-0.22495001,-0.70984122,0.0345067,0.23935962,1.2159003,-0.29493908,0.79806637,-1.45655447,0.95326704,1.40684772,0.39245884,0.04948977,-1.22000157,0.3229355,-1.32034885,2.46120647,1.19536255,-1.55869684
p_409/144.0800mz/4.69min 6-Methylquinoline,0.39771931,0.98361943,-0.64016829,-0.39954705,0.35066672,-1.400748,-0.76750643,0.41011915,-0.28415351,0.74856025,-1.24198939,-1.24332139,-0.89523846,1.39572662,2.43826617,1.23521238,0.54426131,0.55140188,-1.29732849,0.08515128,0.74540984,0.5420282,0.5289154,-0.45254557,-1.45285848,-0.88165288
p_206/194.0809mz/5.58min Phenylacetylglycine,-0.88169457,-0.20468125,-0.51231221,-0.82623092,-0.90306853,-0.40833002,-0.60570078,-1.29770194,1.96629312,-0.91778893,-0.67061594,0.78083892,-0.46869268,0.65679698,0.5958166,0.14862075,0.3852013,0.80235483,-0.38861245,-0.10249003,-0.83163155,-0.08708225,-0.85349783,0.02072263,1.83892407,2.76456269
p_948/717.1121mz/1.11min,-0.8350842,-0.4730078,-0.2307352,1.5376328,-0.4677679,1.20598,-1.2061261,-0.1101304,0.1160971,0.2522336,0.6679577,0.6933468,1.5861162,-0.5265257,-1.285553,-0.6688041,-0.5125564,-0.5756191,-1.9131269,-0.2256139,0.1534505,-0.1217861,-0.2051406,2.366479,1.4698338,-0.6915499
p_266/387.0141mz/1.21min,-0.4158569,-1.8573987,-0.8844277,0.3423172,1.2942433,-0.265102,-1.0047105,-0.9350448,-1.3677948,-1.9639959,-0.4669947,-0.69321,-0.12819,-0.2937633,0.4996632,0.8604409,0.7848736,-0.4100849,0.2282927,1.1516944,1.9385842,0.8193231,1.3350398,0.6932288,0.6865703,0.0523029
p_670/347.0253mz/1.04min,-0.9119013,-1.4626487,0.6114989,0.8078821,0.6587694,1.332336,0.4571796,0.119297,-1.1638414,-0.2369241,0.3742749,-1.38955,0.2515647,-0.7633793,0.1535419,0.5738187,1.1605892,1.9124902,0.5142311,1.2991619,-0.731925,-1.7423006,-1.768328,0.5189274,-0.2815142,-0.2932505
p_554/266.1373mz/5.13min,1.180455179,-0.772545954,-0.746569872,2.707804976,0.122643333,0.144389091,-0.729100148,-0.833138362,-0.40982066,-0.006003762,-1.179945558,1.627572062,-0.14349158,0.669762217,0.127873247,-0.395890618,-0.728488838,-0.118605428,-0.434679646,-0.742238872,1.989856451,-1.099202284,1.285656068,-0.787557253,-0.453634169,-0.27509962
p_16/664.1147mz/1.23min NAD,0.8874872,1.0209031,1.0927978,1.1425588,0.9262596,0.9708918,1.0362674,0.8124078,0.9431888,0.8488266,0.9804966,0.9494723,0.868323,-0.860633,-1.5365631,-1.2933372,-0.5152379,-0.8253733,-1.113506,-1.1094537,-0.7611627,-1.195512,-0.9520893,-0.6885755,-0.7825898,-0.8458475
p_355/231.1679mz/4.78min Isoleucyl-Valine,1.69493284,0.95185822,-0.04486526,-0.98327173,1.2659328,-0.73243677,0.46373967,1.66723509,1.5546233,1.63704557,-1.82509033,-0.98071461,-0.59742303,0.21437258,-0.09232136,-0.35169032,0.03285465,0.16763598,-1.53810499,-0.27557036,-0.65778228,0.53754382,0.02530447,-0.21872392,-1.20164934,-0.71343469
p_651/488.0103mz/1.04min Carbovir Triphosphate,-0.62857306,0.12220519,0.59831926,0.88154765,1.33042489,1.25299486,1.43004072,1.34390308,-0.03259861,1.32024615,1.20492943,0.55029691,0.5731408,-0.83102493,-2.07299589,0.07171606,-0.53569579,-0.29553182,-0.10718552,0.02748415,-1.45230073,-0.78046017,-1.15264262,-1.42783038,-0.74335184,-0.6470578
p_2/123.0549mz/1.31min Niacinamide,0.8632511,1.1196734,0.7327395,0.8489683,1.1049596,0.3914897,0.7537142,1.2640794,0.9967957,1.2353505,0.7754612,0.9370996,1.0335604,-0.7803136,-0.6617699,-0.6686838,-0.9955337,-1.4991343,-1.3815256,-1.6215073,-0.5171039,-0.4094631,-0.4763787,-1.1825474,-1.1178267,-0.7453547
p_453/217.1528mz/2.87min Valyl-Valine,0.70157148,0.58380391,-0.10467882,-1.36183335,0.62814755,-2.72240442,-0.48113442,1.10958497,1.09863594,1.43416915,-1.39828969,-0.5501796,-0.36895434,-0.60132984,-0.19894482,-0.08915479,-1.18785443,-0.37734017,-0.8341045,-0.38627091,0.78701257,0.64703244,0.67244702,1.21767532,0.83664765,0.94574611
p_3/232.1531mz/4.43min Isobutyryl-L-carnitine,0.1231214,0.288387,0.1055528,1.4192548,0.3255967,-0.1724772,-0.5705175,-0.6169507,1.5713749,-0.6036715,1.5093294,0.8863372,1.569111,0.0532853,-1.417003,-1.7645896,-0.1874035,-0.6557669,-0.0983444,0.3305379,-1.7917476,-0.7858322,-1.2949625,-0.2125043,0.5277321,1.4621501
p_243/302.1950mz/5.36min,1.59403874,0.93462606,1.21632108,-0.08595735,-0.19967525,0.07799791,1.27894252,-0.50007383,1.30899528,0.74173489,1.26913171,0.9037896,0.45426448,-0.7436811,-1.25685989,-0.97282629,-0.69400671,-1.76945048,-1.88926144,-1.42471124,-0.18174416,-0.17115971,-0.20574403,-0.04299389,-0.45641278,0.8147159
p_622/903.8011mz/6.08min,-0.72992328,-0.52829482,-0.981171,1.71825176,-1.14206904,1.62321229,0.1923832,-1.51621771,-0.90565825,-0.54507583,2.92900676,1.09942234,-0.38376545,0.11158703,-0.08751686,-0.208943,0.3100792,0.90204861,0.37413159,-0.43450177,0.08764755,-0.0843705,0.01280752,-0.77805821,-0.02394052,-1.0110716
p_649/582.9857mz/5.05min,-0.80002423,-0.98029024,-1.1497063,-0.04246732,-1.28958011,1.46755075,-1.09331649,-0.48476092,0.50610439,0.28694724,1.27213672,1.24711129,1.97838801,-0.33384489,-1.00291063,-1.28707232,-0.1661893,0.30425966,1.17711834,-1.04645517,-0.10209841,0.56727837,0.20449967,-0.87783047,1.6971005,-0.05194816
p_154/279.1897mz/0.94min,-0.736505621,-0.009421816,-1.150628332,0.586224505,0.326357993,-0.568424427,-0.285812361,1.394561008,0.85064671,2.101339721,1.141096757,1.418415625,1.288045524,-0.133914647,-0.979011126,-1.083599617,-1.536009546,-1.352753744,0.07073079,-1.315841992,-0.753537159,0.975560933,0.240013444,-0.719128978,0.225485835,0.006110519
p_37/407.2365mz/1.29min,0.45840093,-0.004942667,-0.93817139,-3.422312764,-0.723554757,-0.459449181,-1.355860211,0.479662335,0.164983528,-0.06108585,-0.976475253,-0.212498665,-0.809497445,1.212128411,0.774460841,-0.016888252,0.09416103,-0.16496602,0.823069019,0.480005683,0.792823558,1.262932198,1.033449472,0.460111308,0.01742893,1.09208521
p_587/247.1269mz/3.20min L-beta-aspartyl-L-leucine,-0.78733615,-0.43658887,-1.31646826,-0.87562739,-1.57806267,-1.91325106,-0.41695347,-0.27271967,0.05731967,0.22823248,-1.30387737,0.45988758,-0.90761465,1.29459708,2.11821053,0.59612316,0.51173113,0.06341747,-0.05361931,0.15040375,0.22786801,0.78192365,0.47083377,1.99171939,0.91562553,-0.00577434
p_397/350.0370mz/6.12min,-0.4123394,-1.1535609,-0.9683968,-0.2441937,-0.5312657,0.3852822,-1.6380874,-0.7826087,1.0245941,-0.112576,0.6103406,1.8565459,0.1620249,-0.7837936,-0.5974141,-0.6601686,-0.2094045,-1.1313335,0.6249046,0.7677452,0.2803122,-1.1071235,-0.3191503,1.0319851,2.1126842,1.7949976
p_174/254.0678mz/1.18min N-Salicyloylaspartic acid,-0.6296699,-0.39105652,1.1626767,-1.13893457,0.38163278,-0.79912749,1.36124291,-1.27644223,-1.34084045,-1.09103517,-1.64603545,-1.13185944,-1.50663534,1.5316235,0.9463553,1.08838451,1.06753745,0.57283399,0.84478793,0.87108551,-0.07056989,0.15779319,0.04131542,-0.11252087,0.19136392,0.91609421
p_138/313.0052mz/6.39min,-1.16232766,0.43731508,1.45994263,-1.06301295,0.50186899,1.06367562,0.53436737,0.33651623,-0.1993141,-0.0194483,-0.42276885,-1.17205177,-0.63337109,0.89908139,-0.05498081,1.11561188,1.3648142,0.77827965,0.43486298,0.77927963,-0.54093042,0.29852499,-0.21942064,-2.89870686,-0.11653472,-1.50127247
p_347/298.5692mz/1.46min,-1.314784326,-1.5240713,0.306267551,-0.645350663,-0.190899963,0.064607605,0.012519668,-1.436482343,-1.705755743,-1.374021442,-0.425494512,-1.118174606,-0.628995559,1.600848607,0.649916781,0.090647271,1.380368599,0.543571111,1.159219985,0.998794105,0.424137505,-0.005848103,0.132589467,1.408320972,0.200660576,1.397408758
p_983/584.9832mz/5.05min,0.19557268,0.0668453,0.75396603,-1.75027435,-0.26059926,0.85187921,0.99426751,-1.68556329,-0.19979188,-0.73528733,1.01477614,0.4989813,2.01625766,0.36061391,0.05238443,0.16379086,0.35019037,0.7811858,0.80163004,0.1809253,-1.6996595,-0.42413574,-1.11507947,-0.89100502,1.26240136,-1.58427208
p_212/330.2257mz/6.21min 6-Keto-decanoylcarnitine,-0.3710356,-0.6816055,-0.6951284,-1.2509753,-0.8354068,-0.8212925,-0.6751825,0.3858246,1.981933,1.3901423,1.1440407,0.9040852,0.1388931,-0.4031125,-0.6983359,-0.5485918,-0.3245599,-1.7677968,-1.1706653,-0.8794599,0.6906432,0.6942162,0.6770216,1.0029983,0.2246563,1.8886942
p_274/278.5715mz/1.34min Aurasperone D,-0.13302213,-1.14185939,0.68435191,0.17565033,-0.59828747,0.50792852,0.37012502,-2.05507317,-1.71664717,-1.20804481,-1.17829201,-1.21125596,-1.32728154,1.74335532,1.37560483,0.85361527,0.6893797,0.77945378,1.29307946,0.24501674,0.06847646,0.30434267,0.16259608,0.41910532,0.41611237,0.48156989
p_865/750.0697mz/1.21min,-1.51325253,-0.53226655,-0.01845361,-1.02722654,-0.60479981,-1.50661552,0.62175417,-0.49735156,-0.35649114,0.11729923,0.07711863,-1.55360803,-0.78582618,-0.5655599,-0.12896013,0.4095895,-0.00941087,2.64349742,-0.12775955,0.50211379,1.91996228,1.12176384,1.4691423,0.23057024,0.0587797,0.05599081
p_610/253.1167mz/2.71min 3'-Hydroxyhexobarbital,1.1503811,-0.16155746,-1.35272564,-0.69918282,0.48428764,-0.89378147,0.08929196,1.92802829,1.68665315,1.71755571,-0.70197884,-0.82273668,-1.63430566,-0.53113017,0.66027779,-0.09286696,0.07361271,-0.44078773,-1.33937134,-0.33688619,-0.21479061,1.56899705,0.81640764,-0.64285769,-0.6390185,0.32848471
p_33/574.0931mz/1.26min,0.7548398,0.8295052,0.6895987,0.7476761,1.10594,0.9809453,0.987174,1.2930735,0.9333268,1.3295937,0.8945673,0.9248639,1.1019372,-0.9723308,-1.2441394,-0.879343,-0.6609816,-0.9432107,-0.9668801,-0.9725653,-1.0071328,-1.0392517,-1.0344672,-1.0527494,-0.8883175,-0.9116719
p_122/190.0700mz/1.57min Glutarylglycine,-0.44123986,-0.01464176,0.77163364,0.30548963,0.2466109,0.41341357,-0.45606694,-0.32677688,0.33410372,1.80453441,0.23212744,1.40276837,0.29641032,-0.41091847,-1.06618239,0.83459128,-1.03897268,-2.18057674,-1.84520805,0.49982706,-0.65944191,-0.88684629,-0.80773256,1.55706189,-0.07944961,1.5154819
p_500/451.9638mz/0.91min,-1.54917477,0.5867757,1.66319785,0.03146664,-0.04645361,1.11383698,1.847582,1.19052166,-0.27626558,0.68299796,0.82668982,0.52482919,0.34311866,0.57110737,-2.37470114,-0.40629115,-0.54520693,-0.6952818,0.12461814,-0.67293931,-0.99064749,0.55878244,-0.1748864,-1.62382647,-0.03633859,-0.67351117
p_634/805.1347mz/4.75min,0.63588175,1.00366612,0.40757699,1.82667304,1.00263386,1.47225344,0.55443238,0.25984401,0.0282185,0.88964047,1.13227446,0.9853225,0.63589242,-0.37874054,-0.90552202,-0.72580244,-0.53048261,-0.31913469,-0.29374201,-0.45581497,-1.28970152,-1.90570305,-1.62928748,-1.03669359,0.01333257,-1.37701761
p_102/281.1772mz/2.73min Prehumulinic acid,1.75148538,0.67892246,1.02639177,1.77207399,0.67752805,1.28898482,0.31359426,-1.08130603,-0.87207377,-0.68572775,0.47922852,0.41925947,0.5764883,0.29902909,-0.59143239,0.13982555,-0.56446492,-2.62920282,0.46759822,-1.3360541,-0.16853978,-1.28494624,-0.70329591,-0.03384196,-0.12813525,0.18861104
p_369/686.0958mz/1.24min,0.542339249,1.180713047,1.168397286,0.67300518,0.073275069,0.384299452,0.886076207,0.733664669,1.073811356,0.459478653,-0.05662398,0.235797811,0.591980457,0.131158068,0.23295804,-0.366161421,-2.13817642,-0.379326543,-0.161141632,-0.008940585,-0.059384852,0.073673033,0.041030784,-2.149003641,-2.935278877,-0.22762041
p_104/276.1786mz/4.06min Hydroxyhexanoycarnitine,2.1592113,1.7133463,1.4897616,0.3136971,1.0431873,-0.7310398,1.1261927,-0.4034618,0.5599721,-0.5960129,1.2205787,-0.2381257,0.6525377,-0.1680303,-0.7215556,-0.818239,-0.57012,-1.43081,-0.6607739,-0.538907,-1.2324554,-1.21471,-1.2411208,-0.4345207,0.1509003,0.5704977
p_195/160.0750mz/2.60min Indoleacetaldehyde,-0.13697521,-0.53133973,-1.58070295,0.19138343,-0.74856616,-0.50610551,-1.34547761,0.27185629,0.63371592,-0.6184528,-2.39895736,-0.05887511,-0.22531781,0.2821838,1.66808852,1.23531189,0.01243618,2.41276799,0.21230421,-1.20706608,0.31728716,0.6224574,0.43795902,0.60917946,0.2760892,0.17481586
p_6/613.1572mz/1.46min Oxidized glutathione,-0.47558739,-1.36306297,-0.6865239,0.31536914,-0.52497128,-0.41197318,-0.66793053,-1.00695846,-1.25965135,-0.37769523,-0.05321598,0.19931365,0.57567303,-3.07755718,0.92581909,0.62919999,0.82222863,0.13463017,1.01078574,0.85733876,0.76914575,-0.10011174,0.25872841,1.4230574,0.6572671,1.42668233
p_636/798.1424mz/4.75min,1.03009627,1.35228612,0.70328933,1.45902094,1.35090348,1.25315328,0.74029702,0.33199374,0.04017586,0.83063239,0.41110584,0.58590062,0.61195082,-0.21426186,-0.98297318,-0.66777771,-0.66174603,0.01384519,-0.48848599,-0.50449863,-1.6662299,-1.86182272,-1.81661212,-0.74881234,0.06391847,-1.16534889
p_112/354.0317mz/6.39min,-1.39850992,0.42861746,1.58618344,-1.0115744,0.60768743,1.12715741,0.50756077,0.48733912,-0.04801654,-0.3020167,-0.40177109,-1.09097337,-0.54764689,0.95429389,-0.16501214,1.21339989,1.57702677,0.88230437,0.31740178,0.69580086,-0.50771168,-0.28264651,-0.49044133,-2.69021711,-0.32632687,-1.12190863
p_346/559.1491mz/2.12min Piceatannol 4'-galloylglucoside,-0.2531761,0.7053076,-0.6696454,-0.898367,0.4156152,-0.2873126,-0.4317475,-1.0367292,-1.5291434,-1.4653435,-1.132806,-1.3387683,-0.2898035,-0.6068825,1.3141913,2.0672198,1.2492597,0.284217,-0.980946,1.0925799,0.868663,0.7919497,0.8125974,1.3207248,-0.1863026,0.1846483
p_845/325.1016mz/4.84min,-0.08219943,-0.58404484,-0.58813433,2.39623842,-1.04060982,0.00444575,-0.64532131,-0.16464909,-0.18060309,0.37720611,-0.59000596,1.34193537,2.88216675,-0.05459544,-0.36496842,-0.75916446,-0.35501602,-0.52368747,-0.20353499,0.71835741,0.16536193,-0.20718343,0.17181834,-0.76549949,-1.81606929,0.8677568
p_249/240.1002mz/3.88min N-Ornithyl-L-taurine,-1.57731383,-1.42961321,-0.09728147,-1.53327377,-0.2437025,-0.20325469,-0.44228289,1.21078028,1.25037786,1.58515501,0.8895967,1.25367512,1.10538247,-1.26087553,-1.54380265,-0.10927178,-0.12732592,-0.52116322,-1.45539636,-0.23240128,0.52217177,0.75607781,0.6315547,0.2059291,0.58195734,0.78430093
p_67/613.3484mz/1.47min,0.06534858,-2.25179022,-1.03786514,0.63920537,0.28878538,-0.87455674,-0.99584408,-0.41371269,-2.17348048,-1.1568103,-0.20934516,0.38186641,0.98477063,0.55324932,-0.13913776,0.17850805,0.1442622,0.13250624,-0.06666594,1.23687975,1.08298916,-0.15495716,0.37563191,0.16367095,1.0566547,2.18983702
p_387/808.1435mz/4.75min,0.4412253,0.9929038,0.8220896,1.9418041,0.9904785,1.4285123,1.0201109,0.2541319,-0.0472474,0.8598124,0.873741,0.6667605,0.7516438,-0.3434739,-0.7104938,-0.5251936,-0.3752914,-1.7433094,-0.2454575,-0.3118254,-1.3285918,-1.5353456,-1.4934576,-0.6504594,-0.5364759,-1.1965915
p_56/244.1529mz/4.85min Tiglylcarnitine,1.27133676,0.80737571,0.53112604,-1.5534238,0.64109848,-2.92196836,0.04136755,0.20060683,-0.30519036,-0.2615784,-0.89169531,-1.11998736,-0.71602622,0.72670269,1.61295045,0.92238032,0.15659087,0.36690809,0.49319409,0.80173772,0.63349057,0.43256901,0.51628241,-0.69996266,-0.32799949,-1.35788563
p_117/318.1885mz/4.40min,-0.517127,-1.0708492,-0.9614079,-0.4910581,-0.8716547,-0.8619616,-1.2550126,0.797578,0.4468691,0.9204981,1.5503859,1.8720439,1.5690052,-0.3902977,-0.5347777,-0.5209969,-0.7776681,-1.1562639,-1.2338353,-1.1338817,0.8710466,0.3692135,0.6457324,0.8070408,1.0315522,0.8958269
p_804/376.0064mz/2.13min,-1.296278328,0.096212898,0.154957394,-1.723900937,0.214938936,-1.098023235,-1.367798702,-1.293941216,0.026625985,-0.516546744,-0.904497933,-1.09664155,-0.202332987,-1.100230337,0.582509268,1.346657727,0.981466086,-0.058633735,0.066661713,1.16918392,0.90543141,1.429061069,1.130623507,1.505733364,0.009907485,1.038854942
p_584/269.5661mz/1.46min Rheidin C,-1.189113632,-1.909061759,0.382037266,-0.352925232,-0.59395536,-0.005578808,0.266461896,-1.492334792,-1.531577909,-1.338581949,-0.594019453,-1.171254554,-0.480385787,1.361408906,0.383105997,1.165153574,1.070166476,0.71714841,1.204511348,1.212820607,0.18458631,0.083385664,0.044772074,1.295779004,0.176211707,1.111239997
p_735/446.1939mz/5.62min N-Oxide abiraterone sulfate,0.7750581,0.03229562,0.20535114,1.16013349,0.31333558,1.16580485,-0.20693494,-0.24895268,-0.92136559,-1.02250125,-2.31822436,-0.17315453,-2.69068,-0.83103331,0.17085719,-0.28051745,0.59328753,0.81991253,0.62283269,1.68734139,0.23319772,-0.33770873,-0.14357503,1.2681,0.21648455,-0.08934452
p_193/284.0979mz/2.09min Guanosine,-0.6255824,-0.715356,-0.8913386,-0.5896429,-1.483439,-1.1831692,-1.3146998,1.2388231,0.3944684,0.8452081,0.7546548,1.4784299,1.5613857,-0.6704735,-1.0580298,-0.1771709,-0.2496,-0.5357289,-1.1992888,-0.1547895,1.5094336,1.4101059,1.4251665,0.3351985,-0.3687957,0.2642306
p_331/343.1007mz/2.73min Glucocaffeic acid,1.7011181,0.83435647,1.36555012,1.58760905,0.63866011,1.44755581,0.66987222,-1.09337285,-0.8455695,-0.83328595,0.4235013,0.17628715,0.57985143,0.27863591,-0.72138942,0.22132804,-0.67629942,-2.69826046,0.4307629,-0.4226202,-0.75845202,-0.82730963,-0.82675012,-0.37862684,-0.29190701,0.01875482
p_326/202.1062mz/4.31min,-1.11078342,0.34364373,-1.13504932,-0.60171061,-0.49566065,-1.40280981,-0.24734665,1.27990969,1.29829294,1.51433477,0.46120519,1.14445534,1.08554356,-1.46366511,0.02768209,-0.58295703,-1.2046071,-1.31007129,-0.7073631,-1.16010202,1.23441992,0.82319241,1.0125875,0.42827526,0.06564773,0.70293598
p_686/367.1486mz/4.62min 1-1;2;3;4;5-Pentahydroxypent-1-yl-1;2;3;4-tetrahydro-beta-carboline-3-carboxylate,-0.82657676,-1.09962008,-0.53066102,-1.49884398,-1.32510516,-0.19702588,-0.17668104,-0.29183293,-0.44452384,0.2961927,-0.10553894,-0.01201821,-0.27554096,1.55268525,2.11668096,1.28711444,1.63887188,2.03836799,-0.44444015,0.61259104,0.46498129,-1.02284379,-0.16743526,-0.87081602,-0.47696366,-0.24101785
p_207/323.0678mz/3.15min,0.380013799,-1.015346884,-0.260146869,0.192116986,-1.160517086,0.738490612,0.521129907,-0.047310952,0.1256502,0.377871897,-0.369128551,0.102222595,-2.556779212,-0.282148131,-1.208165649,-0.580655806,-0.925041815,-1.622158489,0.794274436,0.009209556,0.91454885,0.684500376,0.782266428,1.443375979,1.887723888,1.074003935
p_184/261.0351mz/5.05min Fructose 6-phosphate,-0.36320623,-0.79631028,-1.0458885,0.05181143,-0.87854237,1.04481964,-0.99488909,-0.38272707,0.38756096,0.33000253,1.4283157,1.58812009,2.18384251,-0.43040517,-0.80913685,-1.12354555,-0.22348809,-1.5982699,1.01638032,-0.85705983,-0.04449522,0.31010677,0.127591,-0.6652273,1.87082228,-0.12618181
p_525/149.0593mz/3.46min Cinnamic acid,0.40265788,0.60540377,-0.9742187,-0.32877049,-0.42082157,-2.39251735,-1.61499461,0.88661541,0.61339418,1.01757405,-1.10901609,-0.21892363,-0.8686901,0.39863975,0.96390381,0.00625483,-0.0785123,0.26555476,-0.29653614,-0.39601421,1.82087617,0.93254492,1.72552637,0.63469165,-1.26675347,-0.30786889
p_333/362.0836mz/1.75min,0.4502206,0.8636504,0.3831299,0.6344544,0.4501189,0.689344,0.2206411,1.3721925,0.9766364,1.5194205,1.0377041,1.4743539,1.6420449,-0.8446204,-1.1951275,-0.8538593,-0.8363991,-0.4656733,-0.2325776,-1.2407144,-0.7117826,-1.2064671,-0.9492446,-0.9022879,-1.2738633,-1.0012946
p_269/611.1406mz/1.44min 6''-O-Caffeoylastragalin,0.40948196,0.69237391,0.2678832,0.32723962,1.09302665,-1.30870083,-0.25521586,1.6400673,0.45803161,2.00862236,-0.28376229,-1.22578896,-1.48040018,0.52830843,0.44916156,1.06632042,-0.01960601,0.33926342,-0.2734238,0.36457319,0.57185858,-2.15196303,-0.42761275,-0.53474415,-1.66712179,-0.58787256
p_661/433.7245mz/5.36min,-1.49232303,-0.38253014,-0.01051108,-2.07592892,-0.72010667,-0.50928455,-0.12527339,-0.08105906,0.12690951,-0.01923605,-0.29924559,0.07024233,0.17484428,0.43862013,0.68359059,1.16595188,1.38024858,-0.40926034,0.54459016,2.65400281,0.56605971,-1.25919496,-0.2262383,1.41817556,-0.22602126,-1.38702221
p_696/904.1348mz/6.08min,-1.028862311,-0.956158798,0.030090122,1.401837437,-0.484773537,1.638417031,0.008758572,-0.550379476,-0.31192533,-1.058878617,2.94279941,1.111755704,-1.086953478,0.276230193,-0.000296387,-0.346484756,-0.666770379,0.748887924,0.345716006,-0.986121928,-0.067883025,0.132445062,-0.151136366,-1.423297851,-0.48705001,0.970034787
p_594/312.1103mz/1.39min Taxiphyllin,-1.75970708,-0.46966013,-1.0841678,-1.50446544,-0.44797269,-0.15645835,-0.09240543,-0.1015414,-1.56577285,0.15517583,0.31243525,-0.25617626,-0.1519435,1.15793313,1.11743726,1.00832378,1.84680622,2.45260592,0.2804422,0.85758009,0.29240501,-0.61771642,0.24893293,-0.85155346,-0.25556391,-0.41497291
p_943/840.0822mz/4.76min,0.96671204,0.35628433,1.01437136,1.455008,0.75923247,1.59631051,1.63502846,0.65707011,0.09345099,0.55983874,-0.29927749,-0.34495551,0.13726369,0.48928216,-0.19071361,0.05283016,0.23778626,-0.89793503,-0.32340154,-0.38083391,-0.96388499,-1.86110306,-1.54228974,-0.11282235,-0.82068037,-2.2725717
p_31/150.0579mz/1.33min L-Methionine,0.027182329,0.764451456,0.107891684,-0.930106649,1.131203287,-0.959440078,-0.248020253,0.007755617,-0.526209388,-0.057785149,-1.336246673,-1.373031259,-1.773531474,1.28673595,1.395568472,1.285762367,1.468924189,0.977012202,0.434514673,0.778326397,0.702099149,-0.150337518,0.249388958,-0.871992181,-1.836223942,-0.553892166
p_214/596.0751mz/1.27min,0.8787189,0.9506867,0.5474032,0.7165844,0.9776672,0.767519,0.9217134,1.5063842,0.9992092,1.4344135,0.4867488,0.76763,1.3637194,-1.2207019,-0.8632102,-0.8625312,-0.5801004,-0.8313526,-0.946419,-0.9271233,-0.9549346,-1.3160024,-1.1438009,-0.8322643,-0.8661197,-0.9738374
p_571/414.0067mz/0.91min,-1.33848021,-0.52016432,1.20290852,-0.21921879,-0.4226161,1.00603366,1.64244238,1.30613867,-1.00466716,0.87076483,0.84171253,0.10034564,-0.10893454,0.78904586,-3.1699791,0.32705253,-0.04256124,0.08115002,0.3620339,0.109698,-1.22194817,0.43045371,-0.31307893,-0.79988673,0.05611688,0.03563815
p_428/462.1889mz/6.03min,1.3407367,0.8425183,-0.1377772,0.1060217,1.2240343,-0.434558,-0.4696019,-0.5409278,-1.3502302,-0.4945202,-0.5907918,-1.317949,-0.3413065,0.282963,0.2646137,1.4621374,1.0781479,-0.3599503,0.1106852,2.1760565,0.2075835,-0.6520961,-0.2485591,0.3412116,-2.6450972,0.1466555
p_84/384.1127mz/4.38min Succinyladenosine,-1.48499357,-1.18656639,-1.1030008,0.54527186,-0.73063347,0.60584904,-1.29088458,-1.18988238,-1.81581495,-1.27892864,0.60015782,0.66996762,0.67296254,-0.12711133,0.30391489,-0.06856831,0.39963731,0.0297686,0.78241457,0.6129465,-0.01631875,0.19056041,0.06957285,1.61244488,2.18206655,1.01516776
p_139/104.0530mz/1.33min 2-Methylthiazolidine,0.23425425,0.75619225,-0.08803596,-0.64482979,1.24398998,-1.02708786,-0.38304392,0.03431291,-0.50903237,0.09588003,-1.30117985,-1.48608614,-1.52651559,1.32878617,1.37574314,1.0562777,1.54976402,1.00877364,0.44420943,0.57435905,0.81179871,-0.25844794,0.25224268,-0.92263706,-1.98311829,-0.63656921
p_471/143.1168mz/4.22min,2.03485696,1.39286555,0.62607681,0.50468261,1.58887535,-0.33793569,1.11168839,0.93500658,1.19327853,1.31341391,-0.51750457,-0.90682123,-0.20352346,-0.82748873,-0.65259286,-1.08236827,-0.45622009,-0.57031323,-1.46918324,-1.11133269,-0.11025214,0.02302281,-0.07896182,-0.0324302,-0.85689344,-1.50994586
p_436/273.1298mz/5.40min Decarbamoylneosaxitoxin,0.09186851,-0.50380949,-0.47456015,0.67790552,0.29051496,-0.90863223,-0.26858656,-0.49084928,-0.35527412,0.46627237,1.78718162,1.52467736,0.70143129,3.25193203,-0.55640024,-1.04085136,-0.52557369,-0.27541985,0.5818335,0.39559816,-0.90559233,-0.51484513,-0.93886364,-0.81458467,-0.20029822,-0.99507435
